1,"2度目のカタストロフィ","持っているだけで大きな破滅を呼ぶ物体。リン国の研究者、横瀑氏によって開発された。 彼自身も大きな破滅によって身を滅ぼしたとの伝聞があるが、真偽の程は定かではない。\
 尚、「1度目のカタストロフィ」は相手に投げ付けると小さな不幸を与えるとして当時流行になった。","S",235000,117500,0,3,1,"2011-07-07 17:54:38","2013-01-18 08:41:17"
2,"七光り宜しく","人生をより七色に輝かせるための自己啓発本。 ネット販売限定の書籍。\
利用できる権力は自分を磨くためにもっと積極的に使うべきとの思想を綴っている。 炙り読みをすると過激な反社会的思想の文体を成すことが発覚したため出版数日で廃版とされてしまった。 また、当の著者が出版当時から捜索願が出され、行方不明であったことなどから一種のオカルトとしても多くの話題を集めたいわくつきの本。","S",120000,60000,0,2,1,"2011-07-07 17:55:41","2012-11-08 18:09:21"
4,"ルビー","赤く輝く宝石。 \
その輝きは半永久的に保たれる。","S",300000,150000,0,1,1,"2011-07-07 17:56:17","2012-09-18 09:43:09"
5,"密告者のムーヴメント","革命の予兆。 \
密告者は遙か昔、国家間の抑止力として存在していた。 \
切り札とも脅威とも革命の引き金とも成り得るゆえ、革命の予兆を総じてそう呼ぶようになった。","S",350000,175000,0,4,1,"2011-07-07 17:58:04","2012-09-18 09:43:15"
6,"惑わせ組チケット","魅惑に振舞う女性たちが多数登場する舞台のチケット。 公式には販売されておらず、入手困難。 \
女性たちはそこそこの着衣で現れ観客たちを惑わせる。惑わされた観客はやみつきになり、舞台に足を運ぶ夢を何度も見るようになってしまう。","S",100000,50000,0,3,1,"2011-07-07 17:59:46","2012-09-18 09:43:19"
7,"クロージャの半生","ジャネットの夫である、クロージャ・G ・スタンリーフォールドの半生の記述。 \
彼は大学卒業後、大手広告会社に入社するも人間関係を理由に3ヶ月半で退職。 その後1年ほど旅に出て、旅先で知り合った軍上がりのエスニック料理店マスターから軍隊に入ることを勧められる。 特にやることのなかったクロージャは勧められるまま軍に入隊。 \
ある日、ドラニア公国へ遠征した際、軍キャンプの簡易バーで歌を歌っているジャネットに一目惚れをする。 クロージャはジャネットに声をかけ趣味の話をきっかけに意気投合。その後次第に関係を深めていき、5年後のクロージャの退役を機に入籍をした。 \
退役後はジャネットの個人事務所を立ち上げ専属マネージャーとして\
彼女を支えながら共に世界各地を飛び回っている。","S",90000,45000,0,2,1,"2011-07-07 18:00:30","2012-11-08 18:02:22"
8,"妖精補遺","機械会社ファーマル開発の脳チップ「Fairy Brain」の拡張プラグインのうちのひとつ。 妖精補遺による拡張機能は「Fairyの多重アカウント許可」、「Fairy Filer +variants」、 \
「Fairy Eyeのレベル補正、視力補正機能」、「Fairy Localeの70カ国言語対応」、「F通信のFA/M暗号化」、「ブロウェールデザインのFairyコスチューム」等となっている。 \
以前、フェアリーアプリ制作会社が特定のアプリケーションをインストールすると特典で妖精補遺が付くというキャンペーンを行ったが人気のあまり注文が殺到、サーバが長期に渡りダウンするといった事態が起きたこともあった。","S",230000,115000,0,3,1,"2011-07-07 18:00:57","2013-02-22 11:11:19"
9,"初代鬼丸の鬼人殺し","懐宝十振のひとつに数えられる最上大業物、鬼丸拵。\
刀身がかなり大きく、かつ刃こぼれが激しい。ところどころ錆が付いている。\
鬼丸の作る刀はすべてそのような作りとなっており重量もかなりのもの。力のない者ではまともに扱うことが出来ない。 \
鬼人殺しは鬼を退治する為に打たれた。刃こぼれのためか分からないが何故か人を斬ることは出来ない。","S",240000,120000,0,4,1,"2011-07-07 18:01:24","2012-11-08 17:59:44"
11,"ピンクのブラ","若い女の子に人気がある。 \
若い男の子にも人気がある。","A",6000,3000,0,4,1,"2011-07-07 18:04:25","2012-09-18 09:43:46"
12,"ピンクのパンツ","若い女の子に人気がある。 \
若い男の子にも人気がある。","A",6000,3000,0,4,1,"2011-07-07 18:04:44","2012-09-18 09:43:50"
13,"しあわせの種","プランターに土を入れ、指でくぼみを作ったらその中に種を埋めて少し水を与えておく。そうして忘れた頃には小さな若葉が生えてくる。若葉に気付き慌てて水を与えると、一度忘れてしまっていたことが印象に残ったのか、それをきっかけに定期的に水を与えるようになるだろう。月末など仕事が忙しく帰りが遅くなってしまうとき以外はある程度気を付けて水を与えるはずだ。\
そのまま月日が流れ、少しずつ大きくなる若葉を眺めて「育てる」ということに小さいながらも確かな幸せを感じることになる。どんな花を咲かせるのかは分からない。つまり、それはしあわせを育てていると言える。","S",20000,5000,0,4,1,"2011-12-25 22:19:34","2012-09-18 09:42:32"
16,"もえるごみ","月曜日はもえるごみの日。","D",10,10,0,1,1,"2012-08-30 10:49:20","2012-09-18 09:39:44"
17,"こわすごみ","火曜日はこわすごみの日。","D",10,10,0,1,1,"2012-08-30 10:49:55","2012-09-18 09:39:50"
18,"もえないごみ","水曜日はもえないごみの日。","D",10,10,0,1,1,"2012-08-30 10:50:15","2012-09-18 09:39:54"
19,"うめるごみ","木曜日はうめるごみの日。","D",10,10,0,1,1,"2012-08-30 10:50:42","2012-09-18 09:39:58"
20,"そだいごみ","金曜日はそだいごみの日。","D",20,20,0,1,1,"2012-08-30 10:51:04","2012-09-18 09:40:02"
21,"しっぱいさく","休みだからといって浮かれて作り始めてはいけないよ。","D",20,20,0,1,1,"2012-08-30 10:51:43","2012-09-18 09:40:06"
22,"懐宝十振尺","懐宝十振と呼ばれる名だたる名刀の中でも優れた切れ味を持つ十振について記された書物。\
\
最上大業物「初代鬼丸の鬼人殺し」「三代目助広の和泉の轍」\
大業物「国綱」「桜守」\
良業物「武蔵之刀」「白の大海」\
業物「不知火」「陸奥定」「浄瑠璃の太刀」「虎徹」","C",2000,1000,0,3,1,"2012-08-30 18:25:48","2012-09-18 09:40:41"
23,"三代目助広の和泉の轍","懐宝十振のひとつに数えられる最上大業物。\
助広一族を一躍有名にした一級品の刀。","S",2000,100,0,4,1,"2012-08-31 11:06:15","2012-09-18 09:43:33"
24,"国綱","懐宝十振のひとつに数えられる大業物。","A",200,100,0,4,1,"2012-08-31 11:12:47","2012-09-18 09:43:55"
